"actual","predicted","predicted_calibrated"
0,0.349089625286195,0.413667051584302
0,0.423760845200915,0.602632578266096
0,0.340653381527502,0.392864910085445
0,0.359971914224641,0.44095204584025
0,0.375169162078338,0.479623777771601
1,0.156705059914291,0.089433811847639
0,0.209454452153299,0.144310989560326
0,0.150266726001516,0.0842037731692515
0,0.151017983308033,0.084799421903562
1,0.343275333240253,0.399292398958592
1,0.335864809480786,0.381222755502252
1,0.306637676479673,0.313479847591354
1,0.133817726450751,0.0720819655075778
0,0.303040734001502,0.305601343133938
0,0.380175613158744,0.492440239685689
1,0.445140243501061,0.653748614743008
1,0.27651589789941,0.251126155546713
0,0.245528541606566,0.196201380881248
0,0.185334464985001,0.116382251479204
0,0.196587923843673,0.128777986165463
1,0.298643392693042,0.296122253160688
0,0.354185932345225,0.426389635202212
0,0.19497114354386,0.126930276454003
1,0.373465437269623,0.475267526784577
0,0.173265315745779,0.10425259772909
0,0.225636808164661,0.166022808932308
1,0.310747793025389,0.322615696914307
1,0.434652476312022,0.629033196472409
1,0.226218185841437,0.166849480180933
0,0.208632075541585,0.143273291950079
1,0.264667349079301,0.228985003171097
1,0.168689830747789,0.0999539913202165
1,0.161412655655001,0.0934415273721641
1,0.297997524151913,0.294744410965897
1,0.304947814721391,0.309764713646117
1,0.306245586090921,0.312615686345008
1,0.484201831726323,0.738056604923906
1,0.317950310375702,0.338953680824423
0,0.290381298687571,0.278782397336535
0,0.308415756093371,0.31741491361706
1,0.329342380246471,0.365584379050959
0,0.324908092226432,0.355109917187533
0,0.278361387326502,0.254699948953541
0,0.313304920832877,0.328369322126554
1,0.342869521929983,0.398295255030365
0,0.341856268104293,0.395809223540563
1,0.284394194630192,0.266613912648131
0,0.369595279559052,0.465386941285268
0,0.210905858874678,0.146157653659006
1,0.40692118097171,0.56066526969223
0,0.342358462932965,0.397040700835395
1,0.395404564141582,0.531416878444208
0,0.245028407218552,0.195394243877522
0,0.168053441874708,0.0993687485825741
0,0.249416731087826,0.202562245582185
0,0.368712830729167,0.463137550515112
0,0.403064130624827,0.550906263276038
0,0.295396432973857,0.289233452374404
1,0.361548111999074,0.444937855369436
0,0.277468749829728,0.252967184477074
0,0.282674652974356,0.263182178876783
0,0.192306328146568,0.123934310031561
1,0.397694064335075,0.537255177969973
1,0.279256375304372,0.25644510047815
0,0.316795019758594,0.33630579482163
0,0.303593338498544,0.306804517249265
0,0.501656494380928,0.771143999166178
0,0.286200568934919,0.270249461509489
0,0.299959663631432,0.298941785678977
0,0.320368450917644,0.344528566131414
0,0.268416256125067,0.235839107363816
0,0.339450284161021,0.389927848281474
0,0.404378733097161,0.554237225287208
0,0.167565037044427,0.0989216661599223
0,0.338309026357322,0.38714910599553
1,0.470448245561205,0.709907340933148
1,0.403012992213257,0.550776593651549
1,0.516510045605937,0.79689730124194
0,0.395315346228861,0.531189185308113
0,0.307551604254701,0.315499155051056
0,0.220843986361146,0.159332459876738
1,0.329155601743577,0.365140523728926
0,0.173017868129124,0.104016004583316
1,0.332311861531527,0.372671227689169
0,0.293927645757504,0.286148659071395
1,0.30153761823752,0.302342057900366
1,0.260956588056558,0.222339734540069
1,0.432856900530246,0.624728900126401
0,0.162338506219704,0.094248452700107
0,0.121381560889605,0.0640080864348565
0,0.386866213205319,0.509580701340096
